FID_1,geometry,Join_Count,PREF,CITY1,CITY2,FirstDate,LastDate,radiation,Elev
41,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.86301,37.72355 140.86301,37.72071 140.86660,37.72071 140.86660,37.72355</coordinates></LinearRing></outerBoundaryIs></Polygon>",50,福島県,,南相馬市,2017/07/15 23:25:35,2017/07/15 23:37:22,0.14480,83
42,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.86660,37.66669 140.86660,37.66384 140.87020,37.66384 140.87020,37.66669</coordinates></LinearRing></outerBoundaryIs></Polygon>",21,福島県,,南相馬市,2017/08/06 01:02:22,2017/08/06 01:25:04,0.49000,112
43,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.86660,37.66953 140.86660,37.66669 140.87020,37.66669 140.87020,37.66953</coordinates></LinearRing></outerBoundaryIs></Polygon>",25,福島県,,南相馬市,2017/08/06 01:02:49,2017/08/06 01:24:43,0.49160,126
44,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.86660,37.67238 140.86660,37.66953 140.87020,37.66953 140.87020,37.67238</coordinates></LinearRing></outerBoundaryIs></Polygon>",28,福島県,,南相馬市,2017/08/06 01:03:07,2017/08/06 01:24:22,0.47143,131
45,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.86660,37.72355 140.86660,37.72071 140.87020,37.72071 140.87020,37.72355</coordinates></LinearRing></outerBoundaryIs></Polygon>",48,福島県,,南相馬市,2017/07/15 23:25:22,2017/07/15 23:38:55,0.13479,78
46,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.86660,37.72640 140.86660,37.72355 140.87020,37.72355 140.87020,37.72640</coordinates></LinearRing></outerBoundaryIs></Polygon>",31,福島県,,南相馬市,2017/07/15 23:25:02,2017/07/15 23:37:51,0.14000,83
47,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87020,37.66669 140.87020,37.66384 140.87379,37.66384 140.87379,37.66669</coordinates></LinearRing></outerBoundaryIs></Polygon>",34,福島県,,南相馬市,2017/08/06 01:02:00,2017/08/06 01:25:25,0.41618,110
48,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87020,37.72071 140.87020,37.71787 140.87379,37.71787 140.87379,37.72071</coordinates></LinearRing></outerBoundaryIs></Polygon>",61,福島県,,南相馬市,2017/07/15 23:39:09,2017/07/15 23:41:09,0.15410,75
49,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87020,37.72355 140.87020,37.72071 140.87379,37.72071 140.87379,37.72355</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,福島県,,南相馬市,2017/07/15 23:38:56,2017/07/15 23:39:07,0.14200,70
50,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87020,37.72640 140.87020,37.72355 140.87379,37.72355 140.87379,37.72640</coordinates></LinearRing></outerBoundaryIs></Polygon>",23,福島県,,南相馬市,2017/07/15 23:24:35,2017/07/15 23:25:01,0.13391,79
51,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87379,37.66669 140.87379,37.66384 140.87738,37.66384 140.87738,37.66669</coordinates></LinearRing></outerBoundaryIs></Polygon>",29,福島県,,南相馬市,2017/08/06 01:01:39,2017/08/06 01:25:45,0.30207,101
52,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87379,37.72071 140.87379,37.71787 140.87738,37.71787 140.87738,37.72071</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,福島県,,南相馬市,2017/07/15 23:41:10,2017/07/15 23:41:15,0.12833,74
53,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87379,37.72355 140.87379,37.72071 140.87738,37.72071 140.87738,37.72355</coordinates></LinearRing></outerBoundaryIs></Polygon>",31,福島県,,南相馬市,2017/07/15 23:41:17,2017/07/15 23:42:13,0.14484,70
54,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87379,37.72640 140.87379,37.72355 140.87738,37.72355 140.87738,37.72640</coordinates></LinearRing></outerBoundaryIs></Polygon>",24,福島県,,南相馬市,2017/07/15 23:24:08,2017/07/15 23:24:34,0.15708,74
